year,month,weat_ret,weat_price,month_end,signal,decay,signal_decayed,position,pos_chg,gross_ret,net_ret,cum_net,cum_bh,prev_pos,trade
2014,9,-0.15785535022003916,11.481509523809525,2014-09-30,,0.3298769776932236,,0.0,0.0,-0.0,-0.0,100000.0,48262.38036879324,0.0,False
2014,10,0.09787612458116679,11.497791304347826,2014-10-31,,0.2871745887492588,,0.0,0.0,0.0,0.0,100000.0,52986.11512235291,0.0,False
2014,11,0.05550796555640214,11.928415789473684,2014-11-28,,0.25,,0.0,0.0,0.0,0.0,100000.0,55927.266575532034,0.0,False
2014,12,0.014819878690782273,13.081186363636363,2014-12-31,,0.21763764082403103,,0.0,0.0,0.0,0.0,100000.0,56756.10188168846,0.0,False
2015,1,-0.1401069857910071,11.73688,2015-01-30,,1.0,,0.0,0.0,-0.0,-0.0,100000.0,48804.175521797784,0.0,False
2015,2,0.0016786661775520795,11.074326315789474,2015-02-27,,0.8705505632961241,,0.0,0.0,0.0,0.0,100000.0,48886.10144056954,0.0,False
2015,3,-0.0036438886696701367,10.872745454545454,2015-03-31,,0.7578582832551991,,0.0,0.0,-0.0,-0.0,100000.0,48707.9659294259,0.0,False
2015,4,-0.07136254195892722,10.669457142857144,2015-04-30,,0.6597539553864472,,0.0,0.0,-0.0,-0.0,100000.0,45232.04166705325,0.0,False
2015,5,-0.01674952182512013,10.366855,2015-05-29,,0.5743491774985175,,0.0,0.0,-0.0,-0.0,100000.0,44474.426597956204,0.0,False
2015,6,0.2284585942325732,10.679036363636364,2015-06-30,,0.5,,0.0,0.0,0.0,0.0,100000.0,54634.99157782504,0.0,False
2015,7,-0.18678516561165648,10.927777272727273,2015-07-31,,0.4352752816480621,,0.0,0.0,-0.0,-0.0,100000.0,44429.985627769536,0.0,False
2015,8,-0.034101587365898633,9.966661904761905,2015-08-31,,0.37892914162759955,,0.0,0.0,-0.0,-0.0,100000.0,42914.852591218536,0.0,False
2015,9,0.04671895581442009,9.679395238095239,2015-09-30,,0.3298769776932236,,0.0,0.0,0.0,0.0,100000.0,44919.78969321002,0.0,False
2015,10,0.004971040873312127,9.959818181818182,2015-10-30,,0.2871745887492588,,0.0,0.0,0.0,0.0,100000.0,45143.08780379555,0.0,False
2015,11,-0.07996065978844635,9.65248,2015-11-30,,0.25,,0.0,0.0,-0.0,-0.0,100000.0,41533.41671811629,0.0,False
2015,12,-0.019313015689963686,9.331877272727272,2015-12-31,,0.21763764082403103,,0.0,0.0,-0.0,-0.0,100000.0,40731.281189381516,0.0,False
2016,1,0.009847787017233989,9.133126315789474,2016-01-29,-1.0,1.0,-1.0,-1.0,1.0,0.0,-0.001,99900.0,41132.394171473614,0.0,True
2016,2,-0.06067063217025226,8.896809999999999,2016-02-29,-1.0,0.8705505632961241,-0.8705505632961241,-0.8705505632961241,0.12944943670387588,0.06067063217025226,0.06054118273354838,105948.06415508149,38636.86581441431,-1.0,True
2016,3,0.03793586001997884,8.905559090909092,2016-03-31,-1.0,0.7578582832551991,-0.7578582832551991,-0.7578582832551991,0.11269228004092502,-0.03302508430951549,-0.03313777658955642,102437.18087501441,40102.58854756064,-0.8705505632961241,True
2016,4,0.02123413742486524,8.975552380952381,2016-04-29,-1.0,0.6597539553864472,-0.6597539553864472,-0.6597539553864472,0.0981043278687519,-0.016092466935213344,-0.016190571263082095,100778.66439806826,40954.13242387237,-0.7578582832551991,True
2016,5,-0.05005323625708502,8.786404761904762,2016-05-31,-1.0,0.5743491774985175,-0.5743491774985175,-0.5743491774985175,0.08540477788792966,0.033022820600504176,0.032937415822616244,104098.05317339534,38904.24555795634,-0.6597539553864472,True
2016,6,-0.05498288991090705,8.934086363636364,2016-06-30,-1.0,0.5,-0.5,-0.5,0.07434917749851755,0.031579377596821,0.031505028419322484,107377.66529701931,36765.17770737634,-0.5743491774985175,True
2016,7,-0.0545443363829351,7.988745,2016-07-29,-1.0,0.4352752816480621,-0.4352752816480621,-0.4352752816480621,0.06472471835193788,0.02727216819146755,0.02720744347311561,110299.13705586307,34759.84548732681,-0.5,True
2016,8,-0.09615450220580413,7.668704347826087,2016-08-31,-1.0,0.37892914162759955,-0.37892914162759955,-0.37892914162759955,0.056346140020462565,0.0418536780293606,0.04179733188934014,114909.3466944948,31417.529847742237,-0.4352752816480621,True
2016,9,0.019859774853947743,7.205619047619048,2016-09-30,-1.0,0.3298769776932236,-0.3298769776932236,-0.3298769776932236,0.04905216393437595,-0.0075254474383238045,-0.00757449960225818,114038.9658936616,32041.47491698558,-0.37892914162759955,True
2016,10,0.02086241336487049,7.274980952380952,2016-10-31,-1.0,0.2871745887492588,-0.2871745887492588,-0.2871745887492588,0.04270238894396483,-0.006882029868190193,-0.006924732257134158,113249.27658796753,32709.93741152386,-0.3298769776932236,True
2016,11,-0.06675615362518117,7.174557142857142,2016-11-30,-1.0,0.25,-0.25,-0.25,0.037174588749258775,0.019170670963793743,0.019133496375044485,115416.13121103981,30526.34780461011,-0.2871745887492588,True
2016,12,0.0043782793643296625,6.861423809523809,2016-12-30,-1.0,0.21763764082403103,-0.21763764082403103,0.0,0.25,-0.0010945698410824156,-0.0013445698410824156,115260.94616183903,30660.00068327138,-0.25,True
2017,1,0.03052272259010569,7.1530000000000005,2017-01-31,0.5,1.0,0.5,0.5,0.5,0.0,-0.0005,115203.31568875813,31595.827378739326,0.0,True
